Data_Escala_de_Tempo;cod_aneel_tb_referenciacegusina_Usina;cod_nucleoaneel_tb_referenciacegusina_Usina;Data_Dica;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período_Exibido_GE;Selecione_Tipo_de_GE_Simp_4
06/01/2018 13:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 13:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.007726
06/01/2018 14:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 14:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.011012
06/01/2018 15:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 15:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.011064
06/01/2018 16:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 16:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.006579
06/01/2018 17:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 17:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.004429
06/01/2018 18:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 18:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.004112
06/01/2018 19:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 19:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.005876
06/01/2018 20:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 20:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.000858
06/01/2018 21:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 21:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;3.9e-05
06/01/2018 22:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 22:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0
06/01/2018 23:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 23:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0
07/01/2018 00:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 0:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.000132
07/01/2018 01:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 1:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.000451
07/01/2018 02:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 2:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.000784
07/01/2018 03:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 3:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;9.2e-05
07/01/2018 04:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 4:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;8.6e-05
07/01/2018 05:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 5:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.000832
07/01/2018 06:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 6:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.002061
07/01/2018 07:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 7:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.006956
07/01/2018 08:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 8:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.005433
07/01/2018 09:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 9:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.005566
07/01/2018 10:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 10:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.006371
07/01/2018 11:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 11:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.022499
07/01/2018 12:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 12:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.024284
07/01/2018 13:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 13:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.020354
07/01/2018 14:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 14:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016309
07/01/2018 15:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 15:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.012014
07/01/2018 16:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 16:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015665
07/01/2018 17:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 17:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015839
07/01/2018 18:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 18:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018717
07/01/2018 19:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 19:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018974
07/01/2018 20:00:00;UTE.FL.RS.030666-5.01;030666-5;7/1/2018 20:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018095
